,geo,time,child_mortality_0_5_year_olds_dying_per_1000_born
0,afg,1800,468.58
1,afg,1801,468.58
2,afg,1802,468.58
3,afg,1803,468.58
4,afg,1804,468.58
5,afg,1805,468.58
6,afg,1806,469.98
7,afg,1807,469.98
8,afg,1808,469.98
9,afg,1809,469.98
10,afg,1810,469.98
11,afg,1811,469.98
12,afg,1812,469.98
13,afg,1813,469.98
14,afg,1814,469.98
15,afg,1815,469.98
16,afg,1816,471.38
17,afg,1817,471.38
18,afg,1818,471.38
19,afg,1819,471.38
20,afg,1820,471.38
21,afg,1821,471.38
22,afg,1822,471.38
23,afg,1823,471.38
24,afg,1824,471.38
25,afg,1825,471.38
26,afg,1826,472.81
27,afg,1827,472.81
28,afg,1828,472.81
29,afg,1829,472.81
30,afg,1830,472.81
31,afg,1831,472.81
32,afg,1832,472.81
33,afg,1833,472.81
34,afg,1834,472.81
35,afg,1835,472.81
36,afg,1836,474.24
37,afg,1837,474.24
38,afg,1838,474.24
39,afg,1839,474.24
40,afg,1840,474.24
41,afg,1841,474.24
42,afg,1842,474.24
43,afg,1843,474.24
44,afg,1844,474.24
45,afg,1845,475.67
46,afg,1846,475.67
47,afg,1847,475.67
48,afg,1848,475.67
49,afg,1849,475.67
50,afg,1850,475.67
51,afg,1851,475.67
52,afg,1852,475.67
53,afg,1853,475.67
54,afg,1854,475.67
55,afg,1855,477.1
56,afg,1856,477.1
57,afg,1857,477.1
58,afg,1858,477.1
59,afg,1859,477.1
60,afg,1860,477.1
61,afg,1861,477.1
62,afg,1862,477.1
63,afg,1863,477.1
64,afg,1864,477.1
65,afg,1865,478.53
66,afg,1866,478.53
67,afg,1867,478.53
68,afg,1868,478.53
69,afg,1869,478.53
70,afg,1870,478.53
71,afg,1871,478.53
72,afg,1872,478.53
73,afg,1873,478.53
74,afg,1874,478.53
75,afg,1875,479.96
76,afg,1876,479.96
77,afg,1877,479.96
78,afg,1878,479.96
79,afg,1879,479.96
80,afg,1880,479.96
81,afg,1881,479.96
82,afg,1882,479.96
83,afg,1883,479.96
84,afg,1884,479.96
85,afg,1885,481.39
86,afg,1886,481.39
87,afg,1887,481.39
88,afg,1888,481.39
89,afg,1889,481.39
90,afg,1890,481.39
91,afg,1891,481.39
92,afg,1892,481.39
93,afg,1893,481.39
94,afg,1894,482.81
95,afg,1895,482.77
96,afg,1896,482.69
97,afg,1897,482.57
98,afg,1898,482.38
99,afg,1899,482.11
100,afg,1900,481.77
101,afg,1901,481.36
102,afg,1902,480.87
103,afg,1903,480.3
104,afg,1904,481.08
105,afg,1905,480.36
106,afg,1906,479.57
107,afg,1907,478.69
108,afg,1908,477.75
109,afg,1909,476.74
110,afg,1910,475.68
111,afg,1911,474.58
112,afg,1912,473.45
113,afg,1913,472.32
114,afg,1914,472.57
115,afg,1915,471.43
116,afg,1916,470.29
117,afg,1917,469.15
