,geo,time,income_per_person_gdppercapita_ppp_inflation_adjusted
0,afg,1800,603
1,afg,1801,603
2,afg,1802,603
3,afg,1803,603
4,afg,1804,603
5,afg,1805,603
6,afg,1806,603
7,afg,1807,603
8,afg,1808,603
9,afg,1809,603
10,afg,1810,604
11,afg,1811,604
12,afg,1812,604
13,afg,1813,604
14,afg,1814,604
15,afg,1815,604
16,afg,1816,604
17,afg,1817,604
18,afg,1818,604
19,afg,1819,604
20,afg,1820,604
21,afg,1821,607
22,afg,1822,609
23,afg,1823,611
24,afg,1824,613
25,afg,1825,615
26,afg,1826,617
27,afg,1827,619
28,afg,1828,621
29,afg,1829,623
30,afg,1830,625
31,afg,1831,627
32,afg,1832,630
33,afg,1833,632
34,afg,1834,634
35,afg,1835,636
36,afg,1836,638
37,afg,1837,640
38,afg,1838,643
39,afg,1839,645
40,afg,1840,647
41,afg,1841,649
42,afg,1842,651
43,afg,1843,654
44,afg,1844,656
45,afg,1845,658
46,afg,1846,660
47,afg,1847,663
48,afg,1848,665
49,afg,1849,667
50,afg,1850,669
51,afg,1851,672
52,afg,1852,674
53,afg,1853,676
54,afg,1854,678
55,afg,1855,681
56,afg,1856,683
57,afg,1857,685
58,afg,1858,688
59,afg,1859,690
60,afg,1860,692
61,afg,1861,695
62,afg,1862,697
63,afg,1863,699
64,afg,1864,702
65,afg,1865,704
66,afg,1866,707
67,afg,1867,709
68,afg,1868,711
69,afg,1869,714
70,afg,1870,716
71,afg,1871,719
72,afg,1872,721
73,afg,1873,724
74,afg,1874,726
75,afg,1875,729
76,afg,1876,731
77,afg,1877,734
78,afg,1878,736
79,afg,1879,739
80,afg,1880,741
81,afg,1881,758
82,afg,1882,774
83,afg,1883,791
84,afg,1884,807
85,afg,1885,824
86,afg,1886,840
87,afg,1887,858
88,afg,1888,874
89,afg,1889,892
90,afg,1890,909
91,afg,1891,926
92,afg,1892,944
93,afg,1893,961
94,afg,1894,979
95,afg,1895,997
96,afg,1896,1014
97,afg,1897,1033
98,afg,1898,1051
99,afg,1899,1069
100,afg,1900,1088
101,afg,1901,1106
102,afg,1902,1124
103,afg,1903,1143
104,afg,1904,1162
105,afg,1905,1182
106,afg,1906,1200
107,afg,1907,1219
108,afg,1908,1239
109,afg,1909,1259
110,afg,1910,1277
111,afg,1911,1297
112,afg,1912,1317
113,afg,1913,1337
114,afg,1914,1359
115,afg,1915,1381
116,afg,1916,1403
117,afg,1917,1426
118,afg,1918,1448
119,afg,1919,1471
120,afg,1920,1494
121,afg,1921,1520
122,afg,1922,1545
123,afg,1923,1572
124,afg,1924,1599
125,afg,1925,1625
126,afg,1926,1652
127,afg,1927,1680
128,afg,1928,1708
129,afg,1929,1736
130,afg,1930,1765
131,afg,1931,1793
132,afg,1932,1822
133,afg,1933,1851
134,afg,1934,1881
135,afg,1935,1910
136,afg,1936,1940
137,afg,1937,1970
138,afg,1938,2000
139,afg,1939,2031
140,afg,1940,2064
141,afg,1941,2094
142,afg,1942,2126
143,afg,1943,2159
144,afg,1944,2191
145,afg,1945,2223
146,afg,1946,2257
147,afg,1947,2289
148,afg,1948,2324
149,afg,1949,2357
150,afg,1950,2392
151,afg,1951,2422
152,afg,1952,2462
153,afg,1953,2568
154,afg,1954,2576
155,afg,1955,2579
156,afg,1956,2644
157,afg,1957,2593
158,afg,1958,2684
159,afg,1959,2705
160,afg,1960,2744
161,afg,1961,2702
162,afg,1962,2683
163,afg,1963,2665
164,afg,1964,2649
165,afg,1965,2641
166,afg,1966,2598
167,afg,1967,2601
168,afg,1968,2623
169,afg,1969,2594
170,afg,1970,2574
171,afg,1971,2498
172,afg,1972,2031
173,afg,1973,2031
174,afg,1974,2083
175,afg,1975,2152
176,afg,1976,2206
177,afg,1977,2037
178,afg,1978,2127
179,afg,1979,2030
180,afg,1980,2015
181,afg,1981,2260
182,afg,1982,2501
183,afg,1983,2648
184,afg,1984,2620
185,afg,1985,2552
186,afg,1986,2620
187,afg,1987,2358
188,afg,1988,2140
189,afg,1989,1935
190,afg,1990,1861
191,afg,1991,1645
192,afg,1992,1522
193,afg,1993,1009
194,afg,1994,721
195,afg,1995,1028
196,afg,1996,942
197,afg,1997,865
198,afg,1998,800
199,afg,1999,735
200,afg,2000,687
201,afg,2001,646
202,afg,2002,1016
203,afg,2003,1056
204,afg,2004,1025
205,afg,2005,1099
206,afg,2006,1124
207,afg,2007,1248
208,afg,2008,1268
209,afg,2009,1502
210,afg,2010,1672
211,afg,2011,1627
212,afg,2012,1773
213,afg,2013,1808
214,afg,2014,1796
215,afg,2015,1767
216,afg,2016,1757
217,afg,2017,1758
218,afg,2018,1735
219,afg,2019,1763
220,afg,2020,1800
221,afg,2021,1846
222,afg,2022,1903
223,afg,2023,1972
224,afg,2024,2053
225,afg,2025,2135
226,afg,2026,2215
227,afg,2027,2291
