,geo,time,life_expectancy_at_birth_with_projections
0,afg,1800,28.21
1,afg,1801,28.2
2,afg,1802,28.19
3,afg,1803,28.18
4,afg,1804,28.17
5,afg,1805,28.16
6,afg,1806,28.15
7,afg,1807,28.14
8,afg,1808,28.13
9,afg,1809,28.12
10,afg,1810,28.11
11,afg,1811,28.1
12,afg,1812,28.09
13,afg,1813,28.08
14,afg,1814,28.07
15,afg,1815,28.06
16,afg,1816,28.05
17,afg,1817,28.04
18,afg,1818,28.03
19,afg,1819,28.02
20,afg,1820,28.01
21,afg,1821,28.0
22,afg,1822,27.99
23,afg,1823,27.98
24,afg,1824,27.97
25,afg,1825,27.95
26,afg,1826,27.94
27,afg,1827,27.93
28,afg,1828,27.92
29,afg,1829,27.91
30,afg,1830,27.9
31,afg,1831,27.89
32,afg,1832,27.88
33,afg,1833,27.87
34,afg,1834,27.86
35,afg,1835,27.85
36,afg,1836,27.84
37,afg,1837,27.83
38,afg,1838,27.82
39,afg,1839,27.81
40,afg,1840,27.8
41,afg,1841,27.79
42,afg,1842,27.78
43,afg,1843,27.77
44,afg,1844,27.76
45,afg,1845,27.75
46,afg,1846,27.74
47,afg,1847,27.73
48,afg,1848,27.72
49,afg,1849,27.71
50,afg,1850,27.7
51,afg,1851,27.69
52,afg,1852,27.68
53,afg,1853,27.67
54,afg,1854,27.66
55,afg,1855,27.65
56,afg,1856,27.64
57,afg,1857,27.63
58,afg,1858,27.62
59,afg,1859,27.61
60,afg,1860,27.6
61,afg,1861,27.59
62,afg,1862,27.58
63,afg,1863,27.57
64,afg,1864,27.56
65,afg,1865,27.54
66,afg,1866,27.53
67,afg,1867,27.52
68,afg,1868,27.51
69,afg,1869,27.5
70,afg,1870,27.49
71,afg,1871,27.56
72,afg,1872,27.62
73,afg,1873,27.69
74,afg,1874,27.75
75,afg,1875,27.82
76,afg,1876,27.88
77,afg,1877,27.94
78,afg,1878,28.01
79,afg,1879,28.07
80,afg,1880,28.14
81,afg,1881,28.2
82,afg,1882,28.26
83,afg,1883,28.33
84,afg,1884,28.39
85,afg,1885,28.46
86,afg,1886,28.52
87,afg,1887,28.58
88,afg,1888,28.65
89,afg,1889,28.71
